t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9479E-6,2989.8,300.76,2689,0.00842285714285708
3.9479E-6,2989.8,302.81,2687,0.00842285714285708
3.9479E-6,2989.8,304.88,2684.9,0.00842285714285708
3.9479E-6,2989.8,306.99,2682.8,0.00842285714285708
3.9479E-6,2989.8,309.17,2680.6,0.00842285714285708
3.9479E-6,2989.8,311.42,2678.4,0.00842285714285708
3.948E-6,2989.8,313.74,2676.1,0.00837464285714271
3.948E-6,2989.8,316.13,2673.7,0.00837464285714271
3.948E-6,2989.8,318.6,2671.2,0.00837464285714271
3.948E-6,2989.8,321.14,2668.7,0.00837464285714271
3.948E-6,2989.8,323.75,2666.1,0.00837464285714271
3.948E-6,2989.8,326.44,2663.4,0.00837464285714271
3.948E-6,2989.8,329.22,2660.6,0.00837464285714271
3.948E-6,2989.8,332.07,2657.7,0.00837464285714271
3.9481E-6,2989.8,335.01,2654.8,0.00832642857142834
3.9481E-6,2989.8,338.03,2651.8,0.00832642857142834
3.9481E-6,2989.8,341.14,2648.7,0.00832642857142834
3.9481E-6,2989.8,344.32,2645.5,0.00832642857142834
3.9481E-6,2989.8,347.58,2642.2,0.00832642857142834
3.9481E-6,2989.8,350.93,2638.9,0.00832642857142834
3.9481E-6,2989.8,354.35,2635.5,0.00832642857142834
3.9481E-6,2989.8,357.84,2632,0.00832642857142834
3.9481E-6,2989.8,361.41,2628.4,0.00832642857142834
3.9482E-6,2989.8,365.05,2624.8,0.00827821428571437
3.9482E-6,2989.8,368.76,2621.1,0.00827821428571437
3.9482E-6,2989.8,372.51,2617.3,0.00827821428571437
3.9482E-6,2989.8,376.3,2613.5,0.00827821428571437
3.9482E-6,2989.8,380.11,2609.7,0.00827821428571437
3.9482E-6,2989.8,383.94,2605.9,0.00827821428571437
3.9482E-6,2989.8,387.79,2602,0.00827821428571437
3.9482E-6,2989.8,391.64,2598.2,0.00827821428571437
3.9483E-6,2989.8,395.47,2594.4,0.0083
3.9483E-6,2989.8,399.26,2590.6,0.0083
3.9483E-6,2989.8,403.04,2586.8,0.0083
3.9483E-6,2989.8,406.8,2583,0.0083
3.9483E-6,2989.8,410.51,2579.3,0.0083
3.9483E-6,2989.8,414.19,2575.7,0.0083
3.9483E-6,2989.8,417.83,2572,0.0083
3.9483E-6,2989.8,421.43,2568.4,0.0083
3.9484E-6,2989.8,424.98,2564.9,0.00827
3.9484E-6,2989.8,428.47,2561.4,0.00827
3.9484E-6,2989.8,431.91,2557.9,0.00827
3.9484E-6,2989.8,435.29,2554.6,0.00827
3.9484E-6,2989.8,438.62,2551.2,0.00827
3.9484E-6,2989.9,441.89,2548,0.00827
3.9484E-6,2989.9,445.11,2544.7,0.00827
3.9484E-6,2989.9,448.26,2541.6,0.00827
3.9484E-6,2989.9,451.35,2538.5,0.00827
3.9485E-6,2989.9,454.39,2535.5,0.00816
3.9485E-6,2989.9,457.36,2532.5,0.00816
3.9485E-6,2989.9,460.28,2529.6,0.00816
3.9485E-6,2989.9,463.14,2526.7,0.00816
3.9485E-6,2989.9,465.94,2523.9,0.00816
3.9485E-6,2989.9,468.69,2521.2,0.00816
3.9485E-6,2989.9,471.38,2518.5,0.00816
3.9485E-6,2989.9,474.03,2515.8,0.00816
3.9486E-6,2989.9,476.62,2513.2,0.00819
3.9486E-6,2989.9,479.15,2510.7,0.00819
3.9486E-6,2989.9,481.65,2508.2,0.00819
3.9486E-6,2989.9,484.1,2505.8,0.00819
3.9486E-6,2989.9,486.97,2502.9,0.00819
3.9486E-6,2989.9,489.75,2500.1,0.00819
